Gene,Isoforms,Unique Exon Count
PB.24033,PB.24033.1,1
PB.24034,"PB.24034.1, PB.24034.2, PB.24034.3, PB.24034.4, PB.24034.5, PB.24034.6, PB.24034.7, PB.24034.8",13
PB.24035,PB.24035.1,1
PB.24036,"PB.24036.1, PB.24036.10, PB.24036.11, PB.24036.12, PB.24036.13, PB.24036.14, PB.24036.15, PB.24036.16, PB.24036.2, PB.24036.3, PB.24036.6, PB.24036.7, PB.24036.8, PB.24036.9",22
PB.24037,PB.24037.1,1
PB.24038,PB.24038.1,1
PB.24039,PB.24039.1,1
PB.2404,"PB.2404.1, PB.2404.2, PB.2404.3, PB.2404.4, PB.2404.5, PB.2404.6, PB.2404.7",7
PB.24040,"PB.24040.2, PB.24040.4, PB.24040.5, PB.24040.6, PB.24040.7",9
PB.24041,"PB.24041.1, PB.24041.2, PB.24041.3, PB.24041.4, PB.24041.5, PB.24041.6",7
PB.24042,PB.24042.1,11
PB.24043,"PB.24043.1, PB.24043.2",4
PB.24044,PB.24044.1,3
PB.24045,"PB.24045.1, PB.24045.2, PB.24045.3, PB.24045.4",8
PB.24046,"PB.24046.1, PB.24046.2, PB.24046.5, PB.24046.6, PB.24046.7",17
PB.24047,"PB.24047.1, PB.24047.10, PB.24047.11, PB.24047.12, PB.24047.13, PB.24047.2, PB.24047.3, PB.24047.4, PB.24047.5, PB.24047.6, PB.24047.7, PB.24047.8, PB.24047.9",34
PB.24048,"PB.24048.11, PB.24048.14, PB.24048.15, PB.24048.16, PB.24048.22, PB.24048.24, PB.24048.30, PB.24048.31, PB.24048.32, PB.24048.33, PB.24048.34, PB.24048.35, PB.24048.36, PB.24048.37, PB.24048.38",19
PB.24049,"PB.24049.1, PB.24049.15, PB.24049.16, PB.24049.17, PB.24049.18, PB.24049.19, PB.24049.2, PB.24049.20, PB.24049.22, PB.24049.23, PB.24049.24, PB.24049.25, PB.24049.3, PB.24049.6, PB.24049.7, PB.24049.8, PB.24049.9",32
PB.2405,"PB.2405.1, PB.2405.11, PB.2405.2, PB.2405.3, PB.2405.4, PB.2405.5, PB.2405.6, PB.2405.7, PB.2405.8",12
PB.24050,"PB.24050.1, PB.24050.2, PB.24050.3, PB.24050.4",7
PB.24051,"PB.24051.1, PB.24051.2, PB.24051.3, PB.24051.4, PB.24051.5, PB.24051.6",11
PB.24052,PB.24052.1,2
PB.24053,PB.24053.1,2
PB.24054,PB.24054.1,1
PB.24055,PB.24055.1,2
PB.24056,PB.24056.1,4
PB.24057,"PB.24057.1, PB.24057.2, PB.24057.3, PB.24057.4",8
PB.24058,"PB.24058.1, PB.24058.2, PB.24058.5, PB.24058.6, PB.24058.7, PB.24058.8",9
PB.24059,"PB.24059.1, PB.24059.2, PB.24059.3",6
PB.2406,"PB.2406.1, PB.2406.2, PB.2406.3",8
PB.24060,"PB.24060.1, PB.24060.10, PB.24060.11, PB.24060.12, PB.24060.13, PB.24060.14, PB.24060.15, PB.24060.16, PB.24060.17, PB.24060.18, PB.24060.2, PB.24060.3, PB.24060.4, PB.24060.5, PB.24060.6, PB.24060.7, PB.24060.8, PB.24060.9",30
PB.24061,"PB.24061.1, PB.24061.2, PB.24061.3, PB.24061.4, PB.24061.5, PB.24061.6, PB.24061.7, PB.24061.8",16
PB.24062,"PB.24062.1, PB.24062.2, PB.24062.3, PB.24062.4",5
PB.24063,PB.24063.1,6
PB.24064,"PB.24064.1, PB.24064.2, PB.24064.3, PB.24064.4, PB.24064.5, PB.24064.6",12
PB.24065,"PB.24065.1, PB.24065.2, PB.24065.3",6
PB.24066,"PB.24066.1, PB.24066.2, PB.24066.3",5
PB.24067,"PB.24067.1, PB.24067.10, PB.24067.11, PB.24067.2, PB.24067.3, PB.24067.4, PB.24067.5, PB.24067.6, PB.24067.7, PB.24067.8, PB.24067.9",15
PB.24068,"PB.24068.1, PB.24068.10, PB.24068.11, PB.24068.12, PB.24068.13, PB.24068.14, PB.24068.2, PB.24068.3, PB.24068.4, PB.24068.5, PB.24068.6, PB.24068.8",16
PB.24069,"PB.24069.1, PB.24069.2, PB.24069.3, PB.24069.4, PB.24069.5",6
PB.2407,"PB.2407.1, PB.2407.2, PB.2407.3",8
PB.24070,PB.24070.1,4
PB.24071,"PB.24071.1, PB.24071.2",4
PB.24072,"PB.24072.1, PB.24072.2",4
PB.24073,"PB.24073.1, PB.24073.10, PB.24073.2, PB.24073.3, PB.24073.4, PB.24073.5, PB.24073.6, PB.24073.7, PB.24073.8, PB.24073.9",15
PB.24074,"PB.24074.1, PB.24074.2, PB.24074.3, PB.24074.4, PB.24074.5, PB.24074.6, PB.24074.7, PB.24074.8, PB.24074.9",29
PB.24075,"PB.24075.1, PB.24075.2, PB.24075.3, PB.24075.4, PB.24075.5",11
PB.24076,"PB.24076.1, PB.24076.2",13
PB.24077,"PB.24077.1, PB.24077.2, PB.24077.3, PB.24077.4, PB.24077.5, PB.24077.6, PB.24077.7, PB.24077.8",21
PB.24078,"PB.24078.1, PB.24078.2, PB.24078.3",6
PB.24079,"PB.24079.1, PB.24079.2, PB.24079.3",6
PB.2408,"PB.2408.1, PB.2408.10, PB.2408.11, PB.2408.12, PB.2408.13, PB.2408.14, PB.2408.15, PB.2408.16, PB.2408.17, PB.2408.2, PB.2408.3, PB.2408.4, PB.2408.5, PB.2408.6, PB.2408.7, PB.2408.8, PB.2408.9",20
PB.24080,"PB.24080.1, PB.24080.2",4
PB.24081,"PB.24081.14, PB.24081.18, PB.24081.19, PB.24081.20, PB.24081.21, PB.24081.22, PB.24081.23, PB.24081.24, PB.24081.25, PB.24081.26, PB.24081.27, PB.24081.28, PB.24081.29, PB.24081.30",17
PB.24082,"PB.24082.1, PB.24082.2, PB.24082.3, PB.24082.4",25
PB.24083,"PB.24083.1, PB.24083.2, PB.24083.3",13
PB.24084,"PB.24084.1, PB.24084.10, PB.24084.2, PB.24084.3, PB.24084.4, PB.24084.5, PB.24084.6, PB.24084.7, PB.24084.8, PB.24084.9",19
PB.24085,"PB.24085.1, PB.24085.2",4
PB.24086,"PB.24086.1, PB.24086.2, PB.24086.3, PB.24086.4",7
PB.24087,"PB.24087.1, PB.24087.2, PB.24087.3, PB.24087.4, PB.24087.5",8
PB.24088,"PB.24088.1, PB.24088.2, PB.24088.3, PB.24088.4, PB.24088.5, PB.24088.6, PB.24088.7",12
PB.24089,PB.24089.1,8
PB.2409,"PB.2409.1, PB.2409.2",4
PB.24090,"PB.24090.1, PB.24090.2, PB.24090.3, PB.24090.4",5
PB.24091,"PB.24091.1, PB.24091.10, PB.24091.11, PB.24091.12, PB.24091.2, PB.24091.7, PB.24091.9",8
PB.24092,PB.24092.1,2
PB.24093,"PB.24093.1, PB.24093.2, PB.24093.4",6
PB.24094,"PB.24094.1, PB.24094.2, PB.24094.3, PB.24094.4",4
PB.24095,"PB.24095.1, PB.24095.2, PB.24095.3, PB.24095.4, PB.24095.5",9
PB.24096,"PB.24096.1, PB.24096.2",4
PB.24097,"PB.24097.1, PB.24097.2",4
PB.24098,"PB.24098.1, PB.24098.10, PB.24098.11, PB.24098.12, PB.24098.2, PB.24098.3, PB.24098.4, PB.24098.5, PB.24098.6, PB.24098.7, PB.24098.8, PB.24098.9",23
PB.24099,"PB.24099.1, PB.24099.2, PB.24099.3, PB.24099.4, PB.24099.5, PB.24099.6, PB.24099.8, PB.24099.9",9
PB.241,"PB.241.1, PB.241.2, PB.241.3, PB.241.4, PB.241.5, PB.241.6",9
PB.2410,"PB.2410.1, PB.2410.2, PB.2410.3",5
PB.24100,"PB.24100.1, PB.24100.2, PB.24100.3",8
PB.24101,"PB.24101.1, PB.24101.2, PB.24101.3, PB.24101.4, PB.24101.5, PB.24101.6, PB.24101.7",10
PB.24102,"PB.24102.1, PB.24102.2, PB.24102.3, PB.24102.4, PB.24102.5, PB.24102.6, PB.24102.7",23
PB.24103,"PB.24103.1, PB.24103.10, PB.24103.2, PB.24103.3, PB.24103.4, PB.24103.5, PB.24103.6, PB.24103.7, PB.24103.8, PB.24103.9",15
PB.24104,"PB.24104.1, PB.24104.3, PB.24104.5, PB.24104.6, PB.24104.7, PB.24104.8, PB.24104.9",12
PB.24105,"PB.24105.1, PB.24105.2",4
PB.24106,"PB.24106.1, PB.24106.2, PB.24106.3, PB.24106.5, PB.24106.6",8
PB.24107,"PB.24107.1, PB.24107.2, PB.24107.3",9
PB.24108,"PB.24108.1, PB.24108.10, PB.24108.11, PB.24108.12, PB.24108.13, PB.24108.14, PB.24108.15, PB.24108.16, PB.24108.2, PB.24108.3, PB.24108.4, PB.24108.5, PB.24108.6, PB.24108.7, PB.24108.8, PB.24108.9",31
PB.24109,PB.24109.1,1
PB.2411,PB.2411.1,1
PB.24110,PB.24110.1,1
PB.24111,PB.24111.1,2
PB.24112,PB.24112.1,3
PB.24113,"PB.24113.1, PB.24113.2",3
PB.24114,"PB.24114.1, PB.24114.10, PB.24114.11, PB.24114.12, PB.24114.13, PB.24114.14, PB.24114.15, PB.24114.16, PB.24114.17, PB.24114.18, PB.24114.19, PB.24114.2, PB.24114.20, PB.24114.21, PB.24114.24, PB.24114.25, PB.24114.26, PB.24114.27, PB.24114.28, PB.24114.29, PB.24114.31, PB.24114.32, PB.24114.34, PB.24114.35, PB.24114.9",33
PB.24115,"PB.24115.1, PB.24115.2, PB.24115.3",5
PB.24116,"PB.24116.1, PB.24116.2",2
PB.24117,"PB.24117.1, PB.24117.2",6
PB.24118,PB.24118.1,1
PB.24119,"PB.24119.3, PB.24119.4, PB.24119.5",8
PB.2412,"PB.2412.1, PB.2412.2",4
PB.24120,"PB.24120.1, PB.24120.11, PB.24120.12, PB.24120.13, PB.24120.14, PB.24120.2, PB.24120.3, PB.24120.4, PB.24120.6, PB.24120.8, PB.24120.9",20
PB.24121,"PB.24121.3, PB.24121.4, PB.24121.6",4
PB.24122,"PB.24122.1, PB.24122.2, PB.24122.3, PB.24122.4",8
PB.24123,"PB.24123.10, PB.24123.11, PB.24123.12, PB.24123.13, PB.24123.5, PB.24123.6, PB.24123.7, PB.24123.8, PB.24123.9",10
PB.24124,PB.24124.1,1
PB.24125,"PB.24125.2, PB.24125.4, PB.24125.5, PB.24125.6, PB.24125.7",10
PB.24126,PB.24126.1,2
PB.24127,"PB.24127.1, PB.24127.2, PB.24127.3",6
PB.24128,"PB.24128.1, PB.24128.2",5
PB.24129,"PB.24129.1, PB.24129.2",4
PB.2413,"PB.2413.1, PB.2413.2, PB.2413.3, PB.2413.4",6
PB.24130,"PB.24130.1, PB.24130.2, PB.24130.3, PB.24130.4",7
PB.24131,"PB.24131.1, PB.24131.2, PB.24131.3, PB.24131.4",9
PB.24132,"PB.24132.1, PB.24132.2, PB.24132.3, PB.24132.4, PB.24132.5",8
PB.24133,"PB.24133.1, PB.24133.2, PB.24133.3, PB.24133.4, PB.24133.6",7
PB.24134,"PB.24134.1, PB.24134.2, PB.24134.3, PB.24134.4, PB.24134.7, PB.24134.8",12
PB.24135,"PB.24135.1, PB.24135.2, PB.24135.3",6
PB.24136,"PB.24136.1, PB.24136.2, PB.24136.3",6
PB.24137,"PB.24137.1, PB.24137.2, PB.24137.3, PB.24137.4",10
PB.24138,"PB.24138.1, PB.24138.14, PB.24138.15, PB.24138.18, PB.24138.19, PB.24138.20, PB.24138.21, PB.24138.22, PB.24138.23, PB.24138.24, PB.24138.25, PB.24138.26, PB.24138.27, PB.24138.28, PB.24138.29, PB.24138.30, PB.24138.6, PB.24138.8",22
PB.24139,"PB.24139.1, PB.24139.2, PB.24139.3",6
PB.2414,"PB.2414.1, PB.2414.2, PB.2414.3",7
PB.24140,"PB.24140.1, PB.24140.2, PB.24140.3, PB.24140.4, PB.24140.5",12
PB.24141,"PB.24141.1, PB.24141.2, PB.24141.3, PB.24141.4, PB.24141.5, PB.24141.6, PB.24141.7, PB.24141.8",17
PB.24142,"PB.24142.1, PB.24142.11, PB.24142.2, PB.24142.3, PB.24142.4, PB.24142.5, PB.24142.6, PB.24142.7, PB.24142.8, PB.24142.9",17
PB.24143,"PB.24143.1, PB.24143.2, PB.24143.3, PB.24143.4, PB.24143.5, PB.24143.6",10
PB.24144,"PB.24144.1, PB.24144.2, PB.24144.3",5
PB.24145,"PB.24145.1, PB.24145.2, PB.24145.3, PB.24145.4, PB.24145.5, PB.24145.6",13
PB.24146,"PB.24146.1, PB.24146.2, PB.24146.3",5
PB.24147,PB.24147.1,1
PB.24148,"PB.24148.1, PB.24148.3, PB.24148.4, PB.24148.5",4
PB.24149,"PB.24149.1, PB.24149.2, PB.24149.3, PB.24149.4, PB.24149.5, PB.24149.6",10
PB.2415,"PB.2415.1, PB.2415.2, PB.2415.3, PB.2415.4, PB.2415.5, PB.2415.6, PB.2415.7",13
PB.24150,"PB.24150.1, PB.24150.2",4
PB.24151,"PB.24151.1, PB.24151.10, PB.24151.11, PB.24151.13, PB.24151.14, PB.24151.15, PB.24151.2, PB.24151.3, PB.24151.4, PB.24151.5, PB.24151.6, PB.24151.7, PB.24151.8, PB.24151.9",18
PB.24152,"PB.24152.1, PB.24152.10, PB.24152.11, PB.24152.12, PB.24152.13, PB.24152.14, PB.24152.15, PB.24152.16, PB.24152.17, PB.24152.18, PB.24152.2, PB.24152.3, PB.24152.4, PB.24152.5, PB.24152.6, PB.24152.7, PB.24152.8, PB.24152.9",26
PB.24153,"PB.24153.1, PB.24153.10, PB.24153.11, PB.24153.12, PB.24153.13, PB.24153.14, PB.24153.17, PB.24153.18, PB.24153.2, PB.24153.3, PB.24153.4, PB.24153.7",28
PB.24154,"PB.24154.2, PB.24154.3, PB.24154.4, PB.24154.5, PB.24154.6, PB.24154.7",11
PB.24155,"PB.24155.12, PB.24155.13, PB.24155.14, PB.24155.15, PB.24155.16, PB.24155.2, PB.24155.3, PB.24155.4, PB.24155.5, PB.24155.6, PB.24155.9",16
PB.24156,"PB.24156.1, PB.24156.10, PB.24156.2, PB.24156.3, PB.24156.4, PB.24156.5, PB.24156.6, PB.24156.7, PB.24156.8, PB.24156.9",16
PB.24157,"PB.24157.1, PB.24157.10, PB.24157.11, PB.24157.2, PB.24157.3, PB.24157.4, PB.24157.5, PB.24157.6, PB.24157.7, PB.24157.8, PB.24157.9",22
PB.24158,"PB.24158.1, PB.24158.2, PB.24158.3",12
PB.24159,"PB.24159.1, PB.24159.2, PB.24159.3, PB.24159.4, PB.24159.5",7
PB.2416,"PB.2416.1, PB.2416.2, PB.2416.3, PB.2416.4",4
PB.24160,"PB.24160.1, PB.24160.2, PB.24160.3, PB.24160.4",10
PB.24161,"PB.24161.1, PB.24161.2",9
PB.24162,"PB.24162.1, PB.24162.10, PB.24162.11, PB.24162.13, PB.24162.14, PB.24162.15, PB.24162.16, PB.24162.17, PB.24162.18, PB.24162.19, PB.24162.2, PB.24162.20, PB.24162.21, PB.24162.22, PB.24162.23, PB.24162.24, PB.24162.25, PB.24162.26, PB.24162.3, PB.24162.4, PB.24162.5, PB.24162.6, PB.24162.7, PB.24162.8",30
PB.24163,PB.24163.1,2
PB.24164,"PB.24164.1, PB.24164.2, PB.24164.3, PB.24164.4",6
PB.24165,"PB.24165.1, PB.24165.2, PB.24165.3, PB.24165.4, PB.24165.5, PB.24165.6",13
PB.24166,"PB.24166.1, PB.24166.2, PB.24166.3",8
PB.24167,"PB.24167.10, PB.24167.11, PB.24167.12, PB.24167.13, PB.24167.14, PB.24167.15, PB.24167.16, PB.24167.17, PB.24167.3, PB.24167.4, PB.24167.5, PB.24167.6, PB.24167.9",17
PB.24168,"PB.24168.1, PB.24168.2, PB.24168.4, PB.24168.5, PB.24168.6, PB.24168.7",11
PB.24169,"PB.24169.1, PB.24169.2, PB.24169.3, PB.24169.5, PB.24169.6",9
PB.2417,"PB.2417.1, PB.2417.2, PB.2417.3, PB.2417.4",8
PB.24170,"PB.24170.1, PB.24170.2",4
PB.24171,"PB.24171.1, PB.24171.2, PB.24171.3, PB.24171.4, PB.24171.6, PB.24171.7",13
PB.24172,"PB.24172.1, PB.24172.2, PB.24172.3, PB.24172.4",6
PB.24173,"PB.24173.1, PB.24173.10, PB.24173.2, PB.24173.3, PB.24173.4, PB.24173.5, PB.24173.6, PB.24173.7, PB.24173.8, PB.24173.9",22
PB.24174,"PB.24174.1, PB.24174.2, PB.24174.3, PB.24174.4, PB.24174.5",9
PB.24175,"PB.24175.1, PB.24175.2, PB.24175.3, PB.24175.4, PB.24175.5, PB.24175.6, PB.24175.7, PB.24175.8",13
PB.24176,"PB.24176.1, PB.24176.12, PB.24176.13, PB.24176.14, PB.24176.15, PB.24176.16, PB.24176.2, PB.24176.3, PB.24176.4, PB.24176.5, PB.24176.6, PB.24176.7, PB.24176.8, PB.24176.9",18
PB.24177,"PB.24177.1, PB.24177.10, PB.24177.11, PB.24177.2, PB.24177.3, PB.24177.4, PB.24177.5, PB.24177.6, PB.24177.7, PB.24177.8, PB.24177.9",22
PB.24178,PB.24178.1,7
PB.24179,"PB.24179.1, PB.24179.4, PB.24179.5, PB.24179.6, PB.24179.7",10
PB.2418,"PB.2418.1, PB.2418.2, PB.2418.3, PB.2418.4, PB.2418.5, PB.2418.6, PB.2418.7",11
PB.24180,"PB.24180.1, PB.24180.2, PB.24180.3",7
PB.24181,PB.24181.1,2
PB.24182,PB.24182.1,2
PB.24183,PB.24183.1,2
PB.24184,PB.24184.1,2
PB.24185,PB.24185.1,2
PB.24186,PB.24186.1,2
PB.24187,PB.24187.1,2
PB.24188,PB.24188.1,2
PB.24189,"PB.24189.1, PB.24189.2",4
PB.2419,"PB.2419.1, PB.2419.2, PB.2419.3, PB.2419.4",9
PB.24190,"PB.24190.1, PB.24190.2, PB.24190.3",4
PB.24191,"PB.24191.1, PB.24191.2",5
PB.24192,"PB.24192.1, PB.24192.2",4
PB.24193,PB.24193.1,2
PB.24194,"PB.24194.1, PB.24194.10, PB.24194.2, PB.24194.3, PB.24194.4, PB.24194.5, PB.24194.6, PB.24194.7, PB.24194.9",15
PB.24195,"PB.24195.1, PB.24195.2, PB.24195.3, PB.24195.4, PB.24195.5, PB.24195.6, PB.24195.7, PB.24195.8, PB.24195.9",11
PB.24196,"PB.24196.1, PB.24196.3, PB.24196.4",8
PB.24197,"PB.24197.1, PB.24197.2, PB.24197.3",6
PB.24198,"PB.24198.1, PB.24198.10, PB.24198.11, PB.24198.12, PB.24198.14, PB.24198.2, PB.24198.3, PB.24198.6, PB.24198.7",17
PB.24199,"PB.24199.1, PB.24199.10, PB.24199.11, PB.24199.12, PB.24199.13, PB.24199.14, PB.24199.15, PB.24199.6, PB.24199.7, PB.24199.8, PB.24199.9",12
PB.242,"PB.242.1, PB.242.2, PB.242.3, PB.242.4, PB.242.5",12
PB.2420,"PB.2420.12, PB.2420.13, PB.2420.14, PB.2420.15, PB.2420.16, PB.2420.17, PB.2420.18, PB.2420.19, PB.2420.22, PB.2420.23, PB.2420.24, PB.2420.25, PB.2420.26, PB.2420.31, PB.2420.32, PB.2420.33, PB.2420.34, PB.2420.35, PB.2420.36, PB.2420.37, PB.2420.38, PB.2420.39, PB.2420.42, PB.2420.43, PB.2420.5",34
PB.24200,"PB.24200.1, PB.24200.2, PB.24200.3, PB.24200.4, PB.24200.5, PB.24200.6, PB.24200.7, PB.24200.8, PB.24200.9",16
PB.24201,"PB.24201.1, PB.24201.2, PB.24201.3, PB.24201.4, PB.24201.5, PB.24201.6, PB.24201.7, PB.24201.8, PB.24201.9",15
PB.24202,"PB.24202.1, PB.24202.10, PB.24202.11, PB.24202.12, PB.24202.14, PB.24202.15, PB.24202.16, PB.24202.17, PB.24202.2, PB.24202.3, PB.24202.4, PB.24202.6, PB.24202.7, PB.24202.8, PB.24202.9",24
PB.24203,"PB.24203.1, PB.24203.2",3
PB.24204,"PB.24204.1, PB.24204.10, PB.24204.11, PB.24204.12, PB.24204.13, PB.24204.14, PB.24204.15, PB.24204.16, PB.24204.17, PB.24204.18, PB.24204.19, PB.24204.2, PB.24204.20, PB.24204.21, PB.24204.24, PB.24204.25, PB.24204.26, PB.24204.27, PB.24204.28, PB.24204.29, PB.24204.3, PB.24204.30, PB.24204.4, PB.24204.5, PB.24204.6, PB.24204.9",37
PB.24205,PB.24205.1,1
PB.24206,"PB.24206.1, PB.24206.2, PB.24206.3, PB.24206.4",11
PB.24207,PB.24207.1,1
PB.24208,"PB.24208.1, PB.24208.2, PB.24208.3, PB.24208.4",7
PB.24209,"PB.24209.1, PB.24209.2, PB.24209.3, PB.24209.4",9
PB.2421,"PB.2421.1, PB.2421.2, PB.2421.3, PB.2421.4",8
PB.24210,"PB.24210.1, PB.24210.2, PB.24210.3, PB.24210.4, PB.24210.5, PB.24210.6, PB.24210.7, PB.24210.8",11
PB.24211,PB.24211.1,1
PB.24212,"PB.24212.1, PB.24212.3, PB.24212.4, PB.24212.5",7
PB.24213,"PB.24213.1, PB.24213.2, PB.24213.3, PB.24213.4, PB.24213.6, PB.24213.8",8
PB.24214,"PB.24214.1, PB.24214.2, PB.24214.3",15
PB.24215,"PB.24215.1, PB.24215.2, PB.24215.3",9
PB.24216,"PB.24216.1, PB.24216.2",2
PB.24217,"PB.24217.1, PB.24217.10, PB.24217.11, PB.24217.12, PB.24217.13, PB.24217.14, PB.24217.15, PB.24217.16, PB.24217.17, PB.24217.18, PB.24217.19, PB.24217.2, PB.24217.20, PB.24217.22, PB.24217.3, PB.24217.5, PB.24217.6, PB.24217.7, PB.24217.8, PB.24217.9",35
PB.24218,PB.24218.1,1
PB.24219,"PB.24219.1, PB.24219.2, PB.24219.3",8
PB.2422,"PB.2422.1, PB.2422.2, PB.2422.3",4
PB.24220,PB.24220.1,1
PB.24221,PB.24221.1,1
PB.24222,"PB.24222.1, PB.24222.2, PB.24222.3, PB.24222.4, PB.24222.5, PB.24222.6, PB.24222.7, PB.24222.8",12
PB.24223,"PB.24223.1, PB.24223.10, PB.24223.11, PB.24223.2, PB.24223.3, PB.24223.4, PB.24223.5, PB.24223.6, PB.24223.7, PB.24223.8, PB.24223.9",18
PB.24224,"PB.24224.1, PB.24224.2, PB.24224.3, PB.24224.5",11
PB.24225,"PB.24225.1, PB.24225.10, PB.24225.11, PB.24225.12, PB.24225.13, PB.24225.14, PB.24225.15, PB.24225.16, PB.24225.2, PB.24225.3, PB.24225.4, PB.24225.5, PB.24225.6, PB.24225.7, PB.24225.8, PB.24225.9",17
PB.24226,PB.24226.1,3
PB.24227,"PB.24227.1, PB.24227.2, PB.24227.3, PB.24227.4, PB.24227.5, PB.24227.6, PB.24227.7, PB.24227.8, PB.24227.9",12
PB.24228,PB.24228.1,1
PB.24229,"PB.24229.1, PB.24229.2",2
PB.2423,PB.2423.1,1
PB.24230,"PB.24230.1, PB.24230.10, PB.24230.11, PB.24230.12, PB.24230.13, PB.24230.15, PB.24230.16, PB.24230.18, PB.24230.19, PB.24230.2, PB.24230.20, PB.24230.21, PB.24230.22, PB.24230.24, PB.24230.25, PB.24230.26, PB.24230.27, PB.24230.28, PB.24230.29, PB.24230.3, PB.24230.30, PB.24230.31, PB.24230.34, PB.24230.35, PB.24230.36, PB.24230.37, PB.24230.4, PB.24230.5, PB.24230.6, PB.24230.7, PB.24230.8, PB.24230.9",49
PB.24231,"PB.24231.1, PB.24231.2, PB.24231.3, PB.24231.4",6
PB.24232,PB.24232.1,7
PB.24233,"PB.24233.1, PB.24233.2, PB.24233.3",6
PB.24234,"PB.24234.10, PB.24234.11, PB.24234.12, PB.24234.13, PB.24234.14, PB.24234.15, PB.24234.16, PB.24234.17, PB.24234.18, PB.24234.19, PB.24234.2, PB.24234.20, PB.24234.21, PB.24234.22, PB.24234.23, PB.24234.24, PB.24234.3, PB.24234.4, PB.24234.5, PB.24234.6, PB.24234.7, PB.24234.8, PB.24234.9",33
PB.24235,"PB.24235.10, PB.24235.11, PB.24235.3, PB.24235.9",10
PB.24236,"PB.24236.1, PB.24236.3, PB.24236.4",9
PB.24237,PB.24237.1,7
PB.24238,"PB.24238.10, PB.24238.11, PB.24238.12, PB.24238.4, PB.24238.5, PB.24238.6, PB.24238.7, PB.24238.8, PB.24238.9",17
PB.24239,"PB.24239.1, PB.24239.10, PB.24239.11, PB.24239.2, PB.24239.3, PB.24239.4, PB.24239.5, PB.24239.6, PB.24239.7, PB.24239.8, PB.24239.9",14
PB.2424,"PB.2424.1, PB.2424.2, PB.2424.3, PB.2424.4, PB.2424.5, PB.2424.6, PB.2424.7",10
PB.24240,"PB.24240.1, PB.24240.10, PB.24240.11, PB.24240.14, PB.24240.15, PB.24240.16, PB.24240.17, PB.24240.18, PB.24240.3, PB.24240.8, PB.24240.9",14
PB.24241,"PB.24241.1, PB.24241.2",6
PB.24242,"PB.24242.1, PB.24242.2, PB.24242.3",6
PB.24243,"PB.24243.1, PB.24243.2, PB.24243.3, PB.24243.4, PB.24243.5",10
PB.24244,"PB.24244.1, PB.24244.2, PB.24244.3",5
PB.24245,"PB.24245.1, PB.24245.2, PB.24245.3, PB.24245.4, PB.24245.5, PB.24245.6, PB.24245.7",15
PB.24246,"PB.24246.1, PB.24246.2, PB.24246.3, PB.24246.4",13
PB.24247,"PB.24247.1, PB.24247.2, PB.24247.3, PB.24247.4, PB.24247.5, PB.24247.6, PB.24247.7",14
PB.24248,"PB.24248.1, PB.24248.10, PB.24248.11, PB.24248.12, PB.24248.13, PB.24248.14, PB.24248.15, PB.24248.16, PB.24248.17, PB.24248.3, PB.24248.4, PB.24248.5, PB.24248.6, PB.24248.7, PB.24248.8, PB.24248.9",23
PB.24249,"PB.24249.1, PB.24249.10, PB.24249.11, PB.24249.12, PB.24249.13, PB.24249.14, PB.24249.15, PB.24249.17, PB.24249.2, PB.24249.4, PB.24249.5, PB.24249.6, PB.24249.7, PB.24249.8, PB.24249.9",24
PB.2425,"PB.2425.1, PB.2425.2, PB.2425.3, PB.2425.4, PB.2425.5, PB.2425.6",8
PB.24250,"PB.24250.1, PB.24250.4, PB.24250.6, PB.24250.7, PB.24250.8",7
PB.24251,"PB.24251.1, PB.24251.2",26
PB.24252,"PB.24252.1, PB.24252.3",10
PB.24253,PB.24253.1,9
PB.24254,PB.24254.1,2
PB.24255,PB.24255.1,4
PB.24256,PB.24256.1,4
PB.24257,"PB.24257.1, PB.24257.10, PB.24257.2, PB.24257.3, PB.24257.4, PB.24257.5, PB.24257.6, PB.24257.7, PB.24257.8, PB.24257.9",22
PB.24258,"PB.24258.1, PB.24258.10, PB.24258.2, PB.24258.3, PB.24258.4, PB.24258.5, PB.24258.6, PB.24258.7, PB.24258.8, PB.24258.9",16
PB.24259,"PB.24259.1, PB.24259.2, PB.24259.3, PB.24259.4, PB.24259.5, PB.24259.6, PB.24259.7",16
PB.2426,PB.2426.1,1
PB.24260,"PB.24260.1, PB.24260.2",4
PB.24261,"PB.24261.1, PB.24261.2",8
PB.24262,PB.24262.1,2
PB.24263,PB.24263.1,2
PB.24264,PB.24264.1,6
PB.24265,PB.24265.1,3
PB.24266,"PB.24266.1, PB.24266.11, PB.24266.12, PB.24266.13, PB.24266.14, PB.24266.15, PB.24266.16, PB.24266.17, PB.24266.18, PB.24266.2, PB.24266.3",16
PB.24267,"PB.24267.1, PB.24267.10, PB.24267.11, PB.24267.12, PB.24267.13, PB.24267.14, PB.24267.15, PB.24267.16, PB.24267.17, PB.24267.18, PB.24267.19, PB.24267.2, PB.24267.20, PB.24267.21, PB.24267.22, PB.24267.23, PB.24267.24, PB.24267.25, PB.24267.3, PB.24267.5, PB.24267.6, PB.24267.7, PB.24267.9",34
PB.24268,"PB.24268.1, PB.24268.2, PB.24268.3, PB.24268.4, PB.24268.5, PB.24268.6, PB.24268.7, PB.24268.8, PB.24268.9",13
PB.24269,"PB.24269.1, PB.24269.4, PB.24269.5, PB.24269.6, PB.24269.7, PB.24269.8, PB.24269.9",27
